,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
467738,43OjswTQMkuvQQEP38Roxl,Bandelero,51,166960,0,['Slightly Stoopid'],['6MxlVTY6PmY8Nyn16fvxtb'],2005,0.7120000000000001,0.705,4,-5.033,1,0.0581,0.131,1.34e-05,0.22899999999999998,0.966,168.655,4
467819,2yPoXCs7BSIUrucMdK5PzV,Umbrella,68,275987,0,"['Rihanna', 'JAY-Z']","['5pKCCKE2ajJHZ9KAiaK11H', '3nFkdlSjzX9mRTtwJOzDYB']",2007-01-01,0.583,0.8290000000000001,1,-4.603,1,0.134,0.00864,0.0,0.0426,0.575,174.028,4
467901,7lT9KJpfzMTNi9702WuNI8,Body Language,55,219213,0,['Jesse McCartney'],['2Hjj68yyUPiC0HKEOigcEp'],2008,0.644,0.748,0,-4.467,1,0.0364,0.0309,0.0,0.154,0.5379999999999999,161.434,4
467911,30CU4qvNUUtd8GN4zDV5Oz,Mansard Roof,52,127667,0,['Vampire Weekend'],['5BvJzeQpmsdsFp4HGUYUEx'],2008-01-29,0.522,0.6990000000000001,5,-4.25,1,0.145,0.341,0.000181,0.21899999999999997,0.765,165.245,4
467913,25p1jEwtuplwNIbZkoW5Kv,La Noche Perfecta,53,187187,0,['El Chapo De Sinaloa'],['59Ih0XIAzMXq7Yf9ny3u5t'],2008-01-01,0.708,0.6509999999999999,10,-3.679,1,0.177,0.531,3.229999999999999e-05,0.038,0.963,181.829,4
467966,2q49JWdTqa951SdCXZW44g,Never Wanted Nothing More,53,207720,0,['Kenny Chesney'],['3grHWM9bx2E9vwJCdlRv9O'],2009-05-19,0.528,0.742,7,-7.044,1,0.0526,0.0412,1.99e-05,0.23600000000000002,0.746,177.842,4
468027,27OazZsnF6N1Hp75pCmBNI,No Me Conoces Aún,55,224253,0,['Palomo'],['27plYDXNJSOD084j39Lmlj'],2010-01-01,0.655,0.624,11,-5.795,1,0.0528,0.161,4.09e-06,0.158,0.578,162.167,4
468052,1zG6cEmeo4rv7Old8XD7vC,Something Like That,55,183733,0,['Tim McGraw'],['6roFdX1y5BYSbp60OTJWMd'],2010-11-30,0.507,0.85,5,-5.678999999999999,1,0.0472,0.37799999999999995,0.0,0.0567,0.847,171.8,4
468055,3eR3lWuvQqOzhTn91nbRCa,Something That I Want,57,163280,0,['Grace Potter'],['1PJVVIeS5Wu0wbZDhtC0Ht'],2010-01-01,0.5539999999999999,0.8240000000000001,5,-5.897,1,0.0496,0.0128,0.000802,0.47600000000000003,0.963,168.956,4
468096,0qdnPX9umHlQBQuv2sYZlo,Take It or Leave It,56,232813,0,['Sublime With Rome'],['3XXrhkZKSGd3CUJQFnx5tQ'],2011-07-08,0.677,0.716,9,-6.312,1,0.272,0.0367,0.0,0.14800000000000002,0.828,164.02200000000002,4
468201,1ku4L6AywP1gY36BKYRvg0,"Gin, Smoke, Lies",57,277613,0,['Turnpike Troubadours'],['1YSA4byX5AL1zoTsSTlB03'],2012-05-08,0.501,0.721,0,-7.252000000000001,1,0.0372,0.00987,4.04e-05,0.10099999999999999,0.81,174.02,4
468210,5XsFHtfZJ8yHRWvKK4uQWO,Let There Be Cowgirls,57,273480,0,['Chris Cagle'],['1zhIzONVRlTfD1VQRauHMl'],2012-06-26,0.537,0.7879999999999999,11,-5.557,1,0.0362,0.0892,1.27e-06,0.16399999999999998,0.727,161.991,4
468219,1tzPSule9WZ9B8SujHv8fp,This Head I Hold,55,175773,0,['Electric Guest'],['7sgWBYtJpblXpJl2lU5WVs'],2012-01-01,0.6629999999999999,0.873,0,-4.915,1,0.0328,0.0268,0.0108,0.261,0.9620000000000001,162.024,4
468249,1RfPA6mxhOvc5dVK9MHReF,Pirate Flag,58,225427,0,['Kenny Chesney'],['3grHWM9bx2E9vwJCdlRv9O'],2013-04-30,0.5589999999999999,0.795,7,-6.255,1,0.052000000000000005,0.0787,4.83e-06,0.102,0.5529999999999999,160.039,4
468274,2IvRTipyjerdv79tW9NVRx,Gees,59,175672,1,"['Mac Miller', 'ScHoolboy Q']","['4LLpKhyESsyAXpc4laK94U', '5IcR3N7QB1j6KBL8eImZ8m']",2013-06-18,0.622,0.6609999999999999,1,-5.04,1,0.34600000000000003,0.153,0.0,0.634,0.596,188.25099999999998,4
