,id,name,popularity,artists,release_date,danceability,energy,loudness,mode,speechiness,acousticness,valence,tempo
444773,4fRN5lgea1Dkz7s1Hc3dds,The Return / Two Dollars,11.0,['Bernard Herrmann'],1959-09-26,0.29100000000000004,0.107,-21.954,1.0,0.0496,0.915,0.113,162.401
444860,1Cos3yI0YP5qBbLEexfaA9,Some Other Spring,12.0,['Carmen McRae'],1962-01-17,0.37,0.0524,-16.403,1.0,0.0539,0.9390000000000001,0.0973,57.028
445025,3bstTp3wVQNWE7TcHsWy4q,Dirge Blues,13.0,['Mary Lou Williams'],1964,0.44799999999999995,0.0308,-19.718,1.0,0.0466,0.955,0.27,165.32299999999998
445115,4Ez7VJa35ExeC990tpo8gO,Kundalina - Serpent Power,15.0,['Tony Scott'],1965-01-01,0.431,0.0252,-20.854,1.0,0.0435,0.9690000000000001,0.18899999999999997,100.867
445300,57ZFW90qBiXxuhsPQqzDhR,Main Title,18.0,['Jerry Goldsmith'],1968,0.446,0.034,-28.125999999999998,1.0,0.0488,0.966,0.153,119.84100000000001
445558,68kkNxUHoJMFsCEbGjilhe,Goodbye Pork Pie Hat,21.0,['John McLaughlin'],1971,0.384,0.0569,-16.592,1.0,0.0574,0.907,0.166,177.053
445594,11TstgKzZbnPQryy0MeI7h,L'Arlésienne Suite No. 2: I. Pastorale. Andante sostenuto assai - Andantino - Tempo I,19.0,"['Georges Bizet', 'Leonard Bernstein', 'New York Philharmonic']",1971,0.265,0.111,-19.611,1.0,0.0409,0.841,0.0594,132.874
445728,3oS3FgRtdHa1Y9mj5grt2Y,The Bridge - 2016 Remaster,24.0,['Neil Young'],1973-10-15,0.479,0.0871,-17.08,1.0,0.0468,0.914,0.244,101.28
445769,36THkAIwfXRnZQ7gFFq8nL,Islands In A Black Sky,22.0,['Bruce Cockburn'],1973-01-01,0.337,0.0533,-28.455,0.0,0.0563,0.909,0.209,114.829
445851,5MfiZY8k2lbhB4cnfmR5Xx,"Dambala - Live at Philharmonic Hall, NYC - July 1973",22.0,['Nina Simone'],1974,0.3,0.0938,-17.53,0.0,0.0549,0.9,0.207,129.513
445925,6znGKjrgcjJcbbeSqHDgFg,Kacapi Suling: Semarang and Banjaran,19.0,"['Uking Sukri', 'Ono Sukarna', 'Iim Ibrahim']",1976,0.47100000000000003,0.0598,-24.272,0.0,0.0445,0.8859999999999999,0.217,121.456
446804,0Swg0tetachURMKwk7x0aj,As Yet Untitled,28.0,['Sananda Maitreya'],1987-07-06,0.355,0.0303,-22.394000000000002,0.0,0.0487,0.858,0.0678,105.391
449868,1T86Jeg7YHkfDiVwECYqXv,Queen of the Night’s Aria (Magic Flute),44.0,"['Wolfgang Amadeus Mozart', 'Luciana Serra', 'Staatskapelle Dresden', 'Sir Colin Davis']",2011-01-01,0.429,0.0959,-19.686,1.0,0.0501,0.963,0.262,147.609
450427,3I83s2CnQsBRuBTYnqm4tX,Make You Feel My Love,44.0,['Sidney Mohede'],2014-10-15,0.521,0.115,-11.775,1.0,0.0442,0.8859999999999999,0.244,137.945
450806,2o6wStOj1CW8oD2GLnc3bU,Hell,45.0,['Sophia Kao'],2016-09-01,0.423,0.0794,-13.492,1.0,0.0549,0.855,0.121,182.31599999999997
451084,6du2bWhAXOfBc2r3pwii4g,Langit Abu - Abu - Versi Akapela,46.0,['Tulus'],2018-04-20,0.401,0.107,-13.366,0.0,0.0487,0.903,0.248,105.25200000000001
