,id,name,popularity,artists,release_date,danceability,energy,loudness,mode,speechiness,acousticness,valence,tempo
426320,3v03GNovV38IjeiXxg3p8K,El Cid,47.0,['Colmillo Norteño'],2008-01-01,0.731,0.925,-4.702,1.0,0.107,0.562,0.9420000000000001,170.09099999999998
426338,0URipxGsgT1bnIkUNYoYx6,I Don't Feel Like Dancin' - Radio Edit,44.0,['Scissor Sisters'],2008-01-01,0.713,0.914,-3.8510000000000004,1.0,0.0278,0.0138,0.915,108.03299999999999
426404,1IypFfPPvlS8CUtaLlv2pI,Tú No Eres Para Mi,55.0,['Fanny Lu'],2009-01-01,0.857,0.917,-4.607,1.0,0.0331,0.0447,0.914,124.986
426417,0pExY3TdW1bQTFfLADoV6Z,Mi Amor Amor,52.0,['María José'],2009,0.7290000000000001,0.965,-2.99,1.0,0.0494,0.0208,0.966,140.83700000000002
426431,5MJWoHFH5pOemxZuObv42p,La Cuichi,53.0,['Banda Sinaloense El Recodo De Cruz Lizarraga'],2009-01-01,0.759,0.9470000000000001,-3.1319999999999997,1.0,0.049,0.24,0.971,115.244
426595,79FNFHz8idALaHXxYGJVGB,El Tonny,49.0,['Alfredo Olivas'],2010-01-01,0.753,0.938,-1.9409999999999998,1.0,0.0668,0.502,0.965,117.06200000000001
426628,0vkWhjZgixnhhvMQjzLa9v,25 de Diciembre,49.0,['Régulo Caro'],2010-12-17,0.716,0.9129999999999999,-3.112,1.0,0.0532,0.565,0.9390000000000001,113.094
426631,6xYrQMjQgD2U4apFyIxdq6,Me Pusieron Sergio,47.0,['Alfredo Olivas'],2010-01-01,0.8059999999999999,0.91,-2.5069999999999997,1.0,0.073,0.56,0.9640000000000001,119.889
426696,2Av3o4sAszUWUS6WAEsXij,Que A Toda Madre (Que A Todo Dar),49.0,['Banda Los Recoditos'],2011-01-01,0.857,0.912,-4.31,1.0,0.0632,0.28800000000000003,0.985,112.37899999999999
426779,6R6vyiFfceLP1sM9UwWojK,Hoy Es Mi Cumpleaños,53.0,['Los Titanes De Durango'],2012-01-01,0.71,0.9520000000000001,-2.8280000000000003,1.0,0.0605,0.11199999999999999,0.9359999999999999,135.821
427040,19QUKukqnzvmAD49aymywz,El Bombón,51.0,['Los Rojos'],2014-08-26,0.83,0.945,-4.373,1.0,0.0496,0.159,0.965,112.461
427098,7E5MuGQY8V706WhqKYxXLV,Piérdeme el Respeto - En Vivo (Centro Cultural Roberto Cantoral),57.0,['Playa Limbo'],2015,0.746,0.937,-3.1060000000000003,0.0,0.0476,0.0115,0.9640000000000001,128.048
427150,5IQl8woM2fZu6NWjE6bJOj,Aguaje Activado,53.0,['Calibre 50'],2015-01-27,0.7140000000000001,0.9590000000000001,-1.4980000000000002,1.0,0.133,0.348,0.973,99.84100000000001
427159,4ZLKbWwPy8WolvWIPNH5kd,Culiacán Vs. Mazatlán,53.0,['Calibre 50'],2015-01-27,0.723,0.902,-2.761,1.0,0.0625,0.436,0.9670000000000001,124.831
427211,5Gb0yEpoNzWKmdmEchs0uz,Casco Maizi,56.0,['Millonario'],2016-06-17,0.774,0.912,-4.718,0.0,0.156,0.203,0.971,152.80200000000002
428042,3HwtVgT1FAYfMVDzCzNnhj,Cabra Valentão,4.0,['Zito Borborema'],1957,0.718,0.9059999999999999,-1.617,1.0,0.0545,0.8029999999999999,0.9740000000000001,98.227
429891,3TRYkm060v7HbU6TFQLbcX,Batuque Feiticeiro,16.0,['Alcione'],1975,0.7020000000000001,0.91,-4.056,0.0,0.0736,0.647,0.9670000000000001,124.152
433309,0HWbrq4aPwaHlxqMDCVuYa,Beijo É Bom,30.0,['Sandy e Junior'],1997-01-01,0.9,0.9540000000000001,-2.722,1.0,0.0482,0.418,0.963,112.831
433643,5l2iFFGOYC8FdGFWrL8us2,Um Tempo Pra Nós Dois,30.0,['Mastruz Com Leite'],1998,0.759,0.9570000000000001,-4.912,0.0,0.0561,0.348,0.924,103.81299999999999
433785,6bifeZJqZ4cUs2NewWhO0v,Quebradeira (Joelhinho Cabeça),34.0,['É O Tchan'],1999-01-01,0.741,0.937,-3.688,1.0,0.0733,0.48,0.904,93.15100000000001
433899,2ZV06L7VamZw0vDyhfNsft,O Erê,32.0,['Cidade Negra'],1999-07-05,0.736,0.945,-2.6189999999999998,1.0,0.0576,0.0773,0.9520000000000001,99.07799999999999
434004,4N8rEj0nz6oVhyv3aggHfP,Pula,47.0,['Tihuana'],2000-01-01,0.78,0.937,-4.1080000000000005,1.0,0.147,0.0319,0.935,137.156
434039,5vn0OLU5oirXcxhpV4qcwV,Amante Profissional,43.0,['Herva Doce'],2000-08-16,0.742,0.946,-3.6289999999999996,1.0,0.0651,0.17300000000000001,0.9590000000000001,142.618
434469,2OInahzMoibpPd2TSFhBNv,Na Moral (feat. Seu Jorge),44.0,"['Jota Quest', 'Seu Jorge']",2002-06-15,0.785,0.94,-4.01,0.0,0.0412,0.0717,0.963,116.015
