,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
88314,2DAULesb1U4Qz4FSTZpEUJ,Por Fin Te Encontré,71,250837,0,"['Cali Y El Dandee', 'Juan Magán', 'Sebastian Yatra']","['5DUlefCLzVRzNWaNURTFpK', '1ackd5XprZEkH3McKbQD51', '07YUOmWljBTXwIseAUd9TW']",2015-09-24,0.645,0.821,11,-3.679,1,0.213,0.0492,0.0,0.193,0.8440000000000001,179.968,4
88348,7LABrQFfRYcZUqUwng0Heb,Encantadora,70,240093,0,['Yandel'],['0eHQ9o50hj6ZDNBt6Ys1sD'],2015-11-06,0.662,0.8740000000000001,8,-4.5089999999999995,1,0.0471,0.147,0.0,0.141,0.9259999999999999,169.94299999999998,4
88751,1o6DL0otgQMsUebziSC7kA,Me Niegas,66,201947,0,['Baby Rasta & Gringo'],['3IEvQoAohcGX7CdrbtIle7'],2015-08-21,0.679,0.713,8,-6.625,1,0.0499,0.0226,0.17,0.239,0.882,173.995,4
90338,6rPO02ozF3bM7NnOV4h6s2,Despacito - Remix,74,228827,0,"['Luis Fonsi', 'Daddy Yankee', 'Justin Bieber']","['4V8Sr092TqfHkfAA5fXXqG', '4VMYDCV2IEDYJArk749S6m', '1uNFoZAHBGtllmzznpCI3s']",2017-04-17,0.653,0.816,2,-4.353,1,0.16699999999999998,0.228,0.0,0.0967,0.816,178.085,4
90348,0Gx4VrHzS7pZOEAGrmXXBH,La Bicicleta,74,229510,0,"['Carlos Vives', 'Shakira']","['4vhNDa5ycK0ST968ek7kRr', '0EmeFodog0BfCgMzAIvKQp']",2017-11-10,0.745,0.9440000000000001,0,-3.9589999999999996,1,0.134,0.21,1.45e-06,0.33299999999999996,0.951,179.99099999999999,4
90843,70lnL3QaSOIIyMa2X9aVRL,Perro Fiel (feat. Nicky Jam),70,195213,0,"['Shakira', 'Nicky Jam']","['0EmeFodog0BfCgMzAIvKQp', '1SupJlEpv7RS2tPNRaHViT']",2017-05-26,0.75,0.76,1,-4.836,1,0.198,0.187,0.0,0.0548,0.893,183.817,4
91826,1j6xOGusnyXq3l6IryKF3G,Déjala Que Vuelva (feat. Manuel Turizo),71,220117,0,"['Piso 21', 'Manuel Turizo']","['4bw2Am3p9ji3mYsXNXtQcd', '0tmwSHipWxN12fsoLcFU3B']",2018-05-11,0.6809999999999999,0.7879999999999999,1,-4.323,1,0.0785,0.0482,0.0,0.0753,0.8390000000000001,170.019,4
92045,6habFhsOp2NvshLv26DqMb,Despacito,80,229360,0,"['Luis Fonsi', 'Daddy Yankee']","['4V8Sr092TqfHkfAA5fXXqG', '4VMYDCV2IEDYJArk749S6m']",2019-02-01,0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.8390000000000001,177.928,4
92474,5M6bJO7Cfl4lnPoAHG0EdD,Amor a Primera Vista,75,220941,0,"['Los Ángeles Azules', 'Belinda', 'Lalo Ebratt', 'Horacio Palencia']","['0ZCO8oVkMj897cKgFH7fRW', '5LeiVcEnsZcwc133TUhJNW', '1GAymyGBvB4gQy5Z5LZ1Wj', '7arK8QUX7X61NIkChn9no2']",2019-06-14,0.657,0.763,0,-6.316,1,0.0583,0.32299999999999995,0.0,0.405,0.95,170.155,4
92879,35UUpTmrcFXNIVIN26ujXl,Relación - Remix,88,247308,0,"['Sech', 'Daddy Yankee', 'J Balvin', 'ROSALÍA', 'Farruko']","['77ziqFxp5gaInVrF2lj4ht', '4VMYDCV2IEDYJArk749S6m', '1vyhD5VmyZ7KMfW5gqLgo5', '7ltDVBr6mKbRvohxheJ9h1', '329e4yvIujISKGKz1BZZbO']",2020-09-04,0.7929999999999999,0.7709999999999999,5,-3.417,1,0.0959,0.0337,1.51e-06,0.284,0.835,171.94299999999998,4
